FECHA,ASESOR,CIUDAD,CLASIFICACION,CATEGORIA,PRODUCTO,VALOR_U,CANTIDAD
2016-01-10,Ana Maria,Barranquilla,Importados,Bioestimulantes,Actiplant,39761.4101980242,21.0
2016-01-11,Ana Maria,Medellín,Nacionales,Coadyuvantes,Siliconex,43875.5716916417,27.0
2016-01-11,Juliana,Bogotá,Importados,Especiales,Fruit Cover,42591.6323207903,38.0
2016-01-11,Juliana,Cali,Importados,Fertirrigación,Manganeso,40114.8021642802,45.0
2016-01-11,Camila,Bogotá,Nacionales,Edáficos,Campofos,38465.1252562992,20.0
2016-01-11,Juliana,Barranquilla,Nacionales,Coadyuvantes,Siliconex,37887.9698179598,15.0
2016-01-11,Juliana,Barranquilla,Nacionales,Edáficos,Zinc,37767.6005019425,17.0
2016-01-12,Ana Maria,Cartagena,Importados,Especiales,Solugybb,42672.0,27.0
2016-01-12,Camila,Cali,Importados,Bioestimulantes,Aminogib,42628.669033411,47.0
2016-01-12,Juliana,Cali,Importados,Especiales,Fruit Cover,38699.6911028971,32.0
2016-01-14,Juliana,Barranquilla,Nacionales,Edáficos,Menores,64087.0,25.0
2016-01-14,Camila,Barranquilla,Importados,Especiales,Fruit Cover,43073.1095848596,39.0
2016-01-14,Ana Maria,Barranquilla,Nacionales,Foliares,Fertiverdor,38610.1857140637,10.0
2016-01-15,Juliana,Medellín,Nacionales,Coadyuvantes,Aquafull,40907.0,14.0
2016-01-15,Camila,Cartagena,Nacionales,Coadyuvantes,Fluyex,33559.0,31.0
2016-01-15,Juliana,Medellín,Nacionales,Coadyuvantes,Trionex,40403.3798834499,33.0
2016-01-15,Juliana,Cartagena,Importados,Especiales,Fruit Cover,39090.1197817738,19.0
2016-01-15,Juliana,Bogotá,Nacionales,Edáficos,Zinc,38164.201966256,34.0
2016-01-15,Camila,Bogotá,Nacionales,Foliares,Creciplant,37401.8629648129,16.0
2016-01-16,Juliana,Medellín,Importados,Fertirrigación,Frutales,46085.0,30.0
2016-01-16,Camila,Barranquilla,Nacionales,Edáficos,Campofos,42455.831041181,14.0
2016-01-16,Camila,Bogotá,Nacionales,Coadyuvantes,Fluyex,40769.1174205794,15.0
2016-01-16,Juliana,Medellín,Importados,Especiales,Fruit Cover,38952.7753058053,43.0
2016-01-16,Camila,Bogotá,Importados,Especiales,Fruit Cover,38886.4178623598,12.0
2016-01-16,Ana Maria,Cartagena,Nacionales,Edáficos,Boro,37162.6675291375,35.0
2016-01-17,Camila,Bogotá,Nacionales,Foliares,Creciplant,29285.0,43.0
2016-01-17,Ana Maria,Cali,Nacionales,Coadyuvantes,Trionex,43059.2208176268,15.0
2016-01-17,Ana Maria,Cali,Nacionales,Foliares,Desarrollo,42559.2251972472,49.0
2016-01-17,Camila,Cartagena,Nacionales,Edáficos,Campofos,42062.315969586,20.0
2016-01-17,Camila,Cali,Importados,Bioestimulantes,Cogollando,39560.7946713287,11.0
2016-01-18,Juliana,Cartagena,Nacionales,Coadyuvantes,Trionex,64755.0,17.0
2016-01-18,Camila,Medellín,Nacionales,Edáficos,Campofos,40877.0,16.0
2016-01-18,Juliana,Bogotá,Importados,Fertirrigación,Frutales,39742.8918417138,32.0
2016-01-18,Ana Maria,Cartagena,Nacionales,Foliares,Molib-K,39691.9663618604,17.0
2016-01-18,Camila,Bogotá,Nacionales,Foliares,Creciplant,38587.0377686758,49.0
2016-01-18,Ana Maria,Cartagena,Nacionales,Edáficos,Campofos,37809.2668036408,10.0
2016-01-18,Ana Maria,Medellín,Importados,Fertirrigación,Hierro,37779.9460728161,46.0
2016-01-18,Camila,Barranquilla,Importados,Fertirrigación,Hierro,37736.7365747586,23.0
2016-01-18,Camila,Cali,Nacionales,Coadyuvantes,Fluyex,37690.4406839827,24.0
2016-01-19,Camila,Barranquilla,Importados,Bioestimulantes,Zin Stress,37940.4384941725,43.0
2016-01-19,Juliana,Bogotá,Nacionales,Foliares,Rendimiento,36975.9407696748,50.0
2016-01-20,Ana Maria,Cali,Nacionales,Coadyuvantes,Siliconex,41218.1875611056,38.0
2016-01-20,Camila,Cali,Importados,Bioestimulantes,Zin Stress,39821.5948560328,21.0
2016-01-20,Camila,Barranquilla,Importados,Fertirrigación,Frutales,38977.4664475524,24.0
2016-01-20,Juliana,Bogotá,Nacionales,Edáficos,Boro,37167.2971182151,40.0
2016-01-21,Ana Maria,Bogotá,Importados,Especiales,Solugybb,43247.4907734488,45.0
2016-01-21,Ana Maria,Bogotá,Importados,Fertirrigación,Hierro,41349.3592516372,34.0
2016-01-21,Ana Maria,Medellín,Importados,Fertirrigación,Humus 15,40526.8355921856,40.0
2016-01-21,Camila,Barranquilla,Nacionales,Foliares,Molib-K,39816.9652669553,26.0
2016-01-21,Juliana,Medellín,Nacionales,Foliares,Creciplant,38577.7785905206,27.0
2016-01-21,Ana Maria,Cartagena,Nacionales,Foliares,Creciplant,37330.8759322899,21.0
2016-01-22,Camila,Medellín,Importados,Fertirrigación,Frutales,43281.4410933511,23.0
2016-01-22,Camila,Bogotá,Nacionales,Foliares,Rendimiento,42529.9044664225,27.0
2016-01-22,Camila,Cartagena,Nacionales,Edáficos,Campofos,39529.9307441447,47.0
2016-01-23,Juliana,Cali,Nacionales,Edáficos,Menores,42827.7413637474,18.0
2016-01-23,Juliana,Bogotá,Importados,Bioestimulantes,Zin Stress,42157.9941438561,32.0
2016-01-23,Camila,Bogotá,Importados,Fertirrigación,Calcio,39267.5873630814,44.0
2016-01-24,Camila,Cali,Importados,Fertirrigación,Frutales,41634.8505780886,47.0
2016-01-24,Juliana,Bogotá,Nacionales,Edáficos,Zinc,38378.7062601842,16.0
2016-01-24,Ana Maria,Medellín,Importados,Bioestimulantes,Actiplant,37475.9363900544,11.0
2016-01-25,Juliana,Barranquilla,Nacionales,Foliares,Molib-K,26979.0,37.0
2016-01-25,Camila,Bogotá,Importados,Fertirrigación,Humus 15,43204.2812753913,29.0
2016-01-25,Ana Maria,Cartagena,Importados,Fertirrigación,Calcio,43107.0599047619,16.0
2016-01-25,Ana Maria,Cartagena,Nacionales,Coadyuvantes,Siliconex,42935.7651088911,46.0
2016-01-25,Camila,Cartagena,Importados,Fertirrigación,Humus 15,41613.2458290598,17.0
2016-01-25,Camila,Barranquilla,Importados,Especiales,Solugybb,38176.5475371295,21.0
2016-01-25,Juliana,Bogotá,Importados,Fertirrigación,Manganeso,36948.1632352092,10.0
2016-01-26,Ana Maria,Cartagena,Importados,Bioestimulantes,Actiplant,43849.3373535353,36.0
2016-01-26,Camila,Cali,Nacionales,Foliares,Desarrollo,43826.1894081474,34.0
2016-01-26,Ana Maria,Barranquilla,Importados,Fertirrigación,Frutales,43054.5912285492,34.0
2016-01-26,Juliana,Barranquilla,Importados,Bioestimulantes,Aminogib,38463.58205994,46.0
2016-01-26,Ana Maria,Bogotá,Nacionales,Foliares,Triplehoja,37642.6015968476,42.0
2016-01-27,Camila,Barranquilla,Importados,Bioestimulantes,Actiplant,42796.8774365634,32.0
2016-01-27,Juliana,Cartagena,Importados,Fertirrigación,Calcio,41804.6021776002,16.0
2016-01-27,Camila,Barranquilla,Nacionales,Foliares,Rendimiento,40867.881987568,29.0
2016-01-27,Ana Maria,Medellín,Importados,Bioestimulantes,Cogollando,39523.757958708,49.0
2016-01-27,Ana Maria,Medellín,Importados,Fertirrigación,Manganeso,39256.784988567,20.0
2016-01-27,Camila,Cartagena,Importados,Fertirrigación,Humus 15,38526.8531106671,22.0
2016-01-28,Ana Maria,Cali,Nacionales,Foliares,Fertiverdor,63922.0,24.0
2016-01-28,Ana Maria,Cartagena,Importados,Especiales,Fruit Cover,40674.9824426684,43.0
2016-01-28,Juliana,Cali,Nacionales,Edáficos,Menores,38128.7084499944,12.0
2016-01-29,Ana Maria,Cali,Nacionales,Coadyuvantes,Fluyex,41653.3689343989,49.0
2016-01-31,Camila,Barranquilla,Importados,Bioestimulantes,Aminogib,42124.0438239538,17.0
2016-01-31,Camila,Medellín,Nacionales,Coadyuvantes,Siliconex,41500.5924948385,36.0
2016-01-31,Juliana,Cali,Nacionales,Foliares,Desarrollo,40670.3528535908,40.0
2016-01-31,Juliana,Barranquilla,Nacionales,Edáficos,Menores,39327.77202109,11.0
2016-01-31,Juliana,Barranquilla,Nacionales,Coadyuvantes,Aquafull,37381.8014121434,47.0
2016-02-01,Camila,Barranquilla,Nacionales,Foliares,Creciplant,29285.0,19.0
2016-02-01,Camila,Cartagena,Importados,Bioestimulantes,Aminogib,41679.6032725053,29.0
2016-02-01,Juliana,Cali,Nacionales,Foliares,Creciplant,41039.1767834388,19.0
2016-02-01,Ana Maria,Cali,Importados,Especiales,Fruit Cover,39539.1899222999,18.0
2016-02-03,Camila,Cartagena,Nacionales,Edáficos,Zinc,40897.2027183927,20.0
2016-02-03,Ana Maria,Medellín,Importados,Fertirrigación,Frutales,40059.2470953491,44.0
2016-02-03,Juliana,Bogotá,Nacionales,Edáficos,Campofos,36925.0152898213,31.0
2016-02-04,Camila,Cartagena,Nacionales,Foliares,Molib-K,26979.0,16.0
2016-02-04,Juliana,Medellín,Importados,Bioestimulantes,Actiplant,42779.9022766123,44.0
2016-02-05,Camila,Barranquilla,Nacionales,Edáficos,Campofos,43803.0414627595,42.0
2016-02-05,Ana Maria,Cartagena,Importados,Fertirrigación,Humus 15,43156.4421882562,41.0
2016-02-05,Juliana,Cali,Importados,Bioestimulantes,Cogollando,37516.0594953935,14.0
2016-02-06,Camila,Barranquilla,Importados,Bioestimulantes,Aminogib,43975.8794549895,14.0
2016-02-06,Juliana,Medellín,Importados,Bioestimulantes,Actiplant,39946.5937611277,45.0
2016-02-07,Camila,Cali,Nacionales,Edáficos,Zinc,41698.1216288156,30.0
2016-02-07,Camila,Barranquilla,Nacionales,Coadyuvantes,Trionex,39911.1002448662,45.0
2016-02-07,Ana Maria,Medellín,Nacionales,Edáficos,Campofos,37548.4666189366,46.0
2016-02-08,Camila,Barranquilla,Nacionales,Edáficos,Boro,43361.6873040293,35.0
2016-02-08,Camila,Cali,Importados,Fertirrigación,Calcio,43269.0955224775,33.0
2016-02-08,Ana Maria,Cali,Nacionales,Coadyuvantes,Trionex,41929.6010826951,33.0
2016-02-08,Juliana,Cartagena,Nacionales,Coadyuvantes,Siliconex,39732.0894671995,23.0
2016-02-09,Juliana,Barranquilla,Importados,Fertirrigación,Calcio,37275.0,37.0
2016-02-09,Ana Maria,Bogotá,Importados,Especiales,Solugybb,43006.7521414141,26.0
2016-02-09,Camila,Cali,Importados,Bioestimulantes,Aminogib,37036.1254276834,34.0
2016-02-10,Juliana,Cartagena,Importados,Especiales,Solugybb,42672.0,35.0
2016-02-10,Juliana,Bogotá,Nacionales,Edáficos,Boro,42878.6668436008,37.0
2016-02-10,Camila,Cali,Importados,Bioestimulantes,Cogollando,42199.6604455544,35.0
2016-02-10,Juliana,Bogotá,Importados,Fertirrigación,Humus 15,37199.7042417582,31.0
2016-02-11,Juliana,Cali,Nacionales,Foliares,Desarrollo,26057.0,15.0
2016-02-11,Juliana,Medellín,Nacionales,Edáficos,Campofos,40877.0,12.0
2016-02-11,Juliana,Cali,Importados,Fertirrigación,Manganeso,50591.0,42.0
2016-02-11,Ana Maria,Cali,Importados,Especiales,Fruit Cover,42434.2262921523,21.0
2016-02-12,Juliana,Bogotá,Nacionales,Coadyuvantes,Fluyex,33559.0,57.0
2016-02-12,Juliana,Bogotá,Nacionales,Foliares,Creciplant,43478.9702273282,44.0
2016-02-12,Ana Maria,Bogotá,Importados,Especiales,Fruit Cover,42452.7446484626,43.0
2016-02-12,Ana Maria,Barranquilla,Nacionales,Edáficos,Boro,41324.6681098901,15.0
2016-02-12,Camila,Bogotá,Nacionales,Edáficos,Boro,37789.2052509712,37.0
2016-02-13,Camila,Medellín,Nacionales,Foliares,Fertiverdor,63922.0,17.0
2016-02-14,Juliana,Barranquilla,Nacionales,Coadyuvantes,Aquafull,40907.0,38.0
2016-02-14,Juliana,Cartagena,Importados,Fertirrigación,Humus 15,42852.4325054945,15.0
2016-02-14,Ana Maria,Cartagena,Nacionales,Foliares,Fertiverdor,40273.7513892774,49.0
2016-02-14,Juliana,Bogotá,Nacionales,Edáficos,Zinc,37563.8985825286,22.0
2016-02-14,Ana Maria,Barranquilla,Importados,Especiales,Solugybb,37113.2852456432,15.0
2016-02-15,Ana Maria,Cali,Nacionales,Coadyuvantes,Trionex,64755.0,37.0
2016-02-15,Camila,Cartagena,Importados,Bioestimulantes,Cogollando,42472.8062011322,38.0
2016-02-15,Camila,Bogotá,Importados,Fertirrigación,Humus 15,39610.1769548229,30.0
2016-02-16,Camila,Medellín,Importados,Bioestimulantes,Actiplant,34199.0,16.0
2016-02-16,Juliana,Bogotá,Importados,Fertirrigación,Manganeso,50591.0,24.0
2016-02-16,Ana Maria,Cali,Nacionales,Edáficos,Boro,42999.0361596182,22.0
2016-02-16,Camila,Barranquilla,Nacionales,Coadyuvantes,Siliconex,38508.3347543567,49.0
2016-02-16,Ana Maria,Bogotá,Importados,Fertirrigación,Manganeso,37994.4503667444,21.0
2016-02-17,Ana Maria,Cartagena,Nacionales,Coadyuvantes,Fluyex,33559.0,19.0
2016-02-17,Camila,Bogotá,Importados,Especiales,Fruit Cover,43174.9605445665,30.0
2016-02-17,Ana Maria,Bogotá,Nacionales,Coadyuvantes,Siliconex,39083.946996337,39.0
2016-02-18,Juliana,Bogotá,Importados,Fertirrigación,Hierro,58570.0,29.0
2016-02-18,Juliana,Bogotá,Importados,Fertirrigación,Hierro,58570.0,24.0
2016-02-18,Juliana,Medellín,Importados,Fertirrigación,Calcio,37275.0,37.0
2016-02-18,Ana Maria,Barranquilla,Nacionales,Edáficos,Zinc,43880.2012807193,15.0
2016-02-18,Juliana,Bogotá,Importados,Fertirrigación,Hierro,43866.3125134865,18.0
2016-02-18,Camila,Bogotá,Nacionales,Foliares,Triplehoja,40380.2319380619,49.0
2016-02-18,Juliana,Bogotá,Nacionales,Coadyuvantes,Siliconex,39997.5192409812,26.0
2016-02-18,Camila,Cartagena,Nacionales,Coadyuvantes,Aquafull,37408.0357502497,18.0
2016-02-19,Ana Maria,Cali,Nacionales,Coadyuvantes,Aquafull,42989.776981463,47.0
2016-02-19,Juliana,Cartagena,Importados,Bioestimulantes,Actiplant,41986.6993479853,16.0
2016-02-19,Camila,Medellín,Nacionales,Foliares,Fertiverdor,40420.355043401,37.0
2016-02-19,Camila,Cali,Importados,Bioestimulantes,Zin Stress,37233.6545616606,50.0
2016-02-20,Ana Maria,Barranquilla,Importados,Bioestimulantes,Actiplant,34199.0,28.0
2016-02-20,Ana Maria,Barranquilla,Nacionales,Foliares,Fertiverdor,42701.1992622933,30.0
2016-02-20,Camila,Medellín,Nacionales,Coadyuvantes,Aquafull,41261.397059163,40.0
2016-02-20,Camila,Cartagena,Importados,Fertirrigación,Frutales,39093.2061744922,25.0
2016-02-20,Ana Maria,Cartagena,Importados,Fertirrigación,Calcio,39014.5031601731,45.0
2016-02-20,Ana Maria,Bogotá,Importados,Fertirrigación,Manganeso,37840.1307308247,35.0
2016-02-21,Ana Maria,Barranquilla,Nacionales,Coadyuvantes,Fluyex,33559.0,16.0
2016-02-21,Camila,Cartagena,Nacionales,Edáficos,Zinc,30773.0,37.0
2016-02-21,Ana Maria,Medellín,Importados,Fertirrigación,Hierro,42224.3515873016,16.0
2016-02-21,Camila,Medellín,Importados,Especiales,Solugybb,38940.4297349317,42.0
2016-02-22,Ana Maria,Cartagena,Nacionales,Foliares,Creciplant,29285.0,22.0
2016-02-22,Juliana,Barranquilla,Nacionales,Foliares,Molib-K,43965.0770804751,44.0
2016-02-22,Ana Maria,Bogotá,Nacionales,Edáficos,Boro,43707.3632884893,43.0
2016-02-22,Camila,Barranquilla,Nacionales,Foliares,Desarrollo,42580.8299462759,19.0
2016-02-22,Juliana,Bogotá,Importados,Fertirrigación,Humus 15,41829.2933193473,40.0
2016-02-22,Camila,Cartagena,Nacionales,Foliares,Molib-K,40255.233032967,20.0
2016-02-23,Juliana,Medellín,Importados,Fertirrigación,Hierro,43772.1775355755,41.0
2016-02-23,Juliana,Bogotá,Nacionales,Coadyuvantes,Fluyex,41891.0211737152,40.0
2016-02-23,Camila,Cartagena,Nacionales,Edáficos,Zinc,37810.81,42.0
2016-02-23,Ana Maria,Medellín,Importados,Bioestimulantes,Cogollando,37536.121048063,11.0
2016-02-24,Ana Maria,Barranquilla,Importados,Bioestimulantes,Actiplant,34199.0,30.0
2016-02-25,Camila,Medellín,Importados,Fertirrigación,Manganeso,50591.0,39.0
2016-02-25,Camila,Cali,Nacionales,Foliares,Triplehoja,42333.9185288045,48.0
2016-02-25,Camila,Barranquilla,Importados,Especiales,Solugybb,41262.9402555222,20.0
2016-02-25,Ana Maria,Cali,Nacionales,Coadyuvantes,Trionex,40386.4047234987,36.0
2016-02-25,Juliana,Medellín,Nacionales,Foliares,Fertiverdor,37386.431001221,44.0
2016-02-26,Camila,Cali,Nacionales,Edáficos,Boro,42394.0,49.0
2016-02-26,Camila,Cali,Importados,Fertirrigación,Calcio,43711.9928775669,37.0
2016-02-26,Camila,Barranquilla,Nacionales,Coadyuvantes,Siliconex,41594.7274727495,10.0
2016-02-26,Camila,Medellín,Importados,Bioestimulantes,Actiplant,38150.3131990232,12.0
2016-02-27,Ana Maria,Cali,Nacionales,Coadyuvantes,Fluyex,33559.0,36.0
2016-02-27,Camila,Medellín,Nacionales,Foliares,Rendimiento,43306.1322350982,32.0
2016-02-27,Ana Maria,Cali,Nacionales,Coadyuvantes,Fluyex,40327.7632618492,18.0
2016-02-27,Camila,Cali,Importados,Bioestimulantes,Cogollando,37448.1588555888,32.0
2016-02-28,Juliana,Barranquilla,Importados,Fertirrigación,Manganeso,43659.5242013542,36.0
2016-02-29,Ana Maria,Bogotá,Importados,Fertirrigación,Frutales,46085.0,39.0
2016-02-29,Camila,Medellín,Importados,Fertirrigación,Hierro,43827.7326045066,46.0
2016-02-29,Camila,Medellín,Nacionales,Foliares,Fertiverdor,42534.5340555001,31.0
2016-02-29,Camila,Medellín,Nacionales,Edáficos,Zinc,41051.5223543124,45.0
2016-02-29,Ana Maria,Medellín,Importados,Fertirrigación,Hierro,40681.1552281052,21.0
2016-02-29,Juliana,Cartagena,Importados,Fertirrigación,Manganeso,37870.9946580086,33.0
2016-03-01,Ana Maria,Cartagena,Importados,Especiales,Fruit Cover,40215.1099276279,18.0
2016-03-02,Camila,Bogotá,Nacionales,Coadyuvantes,Aquafull,40907.0,37.0
2016-03-02,Ana Maria,Cartagena,Importados,Especiales,Solugybb,41778.3678394938,43.0
2016-03-02,Camila,Cartagena,Importados,Fertirrigación,Humus 15,38798.4556698857,21.0
2016-03-02,Camila,Cali,Importados,Especiales,Solugybb,38019.1415084915,11.0
2016-03-03,Ana Maria,Medellín,Importados,Especiales,Solugybb,42672.0,39.0
2016-03-03,Ana Maria,Cali,Importados,Fertirrigación,Frutales,46085.0,19.0
2016-03-03,Ana Maria,Barranquilla,Nacionales,Foliares,Desarrollo,43645.6354341214,14.0
2016-03-03,Juliana,Bogotá,Nacionales,Coadyuvantes,Fluyex,42017.5632751693,46.0
2016-03-03,Juliana,Medellín,Nacionales,Foliares,Rendimiento,38205.8682679543,31.0
2016-03-04,Juliana,Medellín,Importados,Fertirrigación,Humus 15,31841.0,32.0
2016-03-04,Camila,Bogotá,Importados,Bioestimulantes,Actiplant,34199.0,40.0
2016-03-04,Ana Maria,Barranquilla,Importados,Bioestimulantes,Cogollando,54073.0,49.0
2016-03-04,Camila,Cartagena,Importados,Fertirrigación,Calcio,43537.6116889777,37.0
2016-03-04,Camila,Medellín,Importados,Fertirrigación,Hierro,43380.2056603397,19.0
2016-03-04,Juliana,Cali,Importados,Fertirrigación,Hierro,42807.6798110778,33.0
2016-03-04,Camila,Bogotá,Nacionales,Edáficos,Campofos,42661.0761569542,41.0
2016-03-04,Camila,Medellín,Nacionales,Edáficos,Campofos,42577.7435535575,12.0
2016-03-04,Juliana,Cali,Nacionales,Edáficos,Menores,41284.545004551,21.0
2016-03-05,Juliana,Medellín,Importados,Fertirrigación,Humus 15,41988.2425443445,15.0
2016-03-05,Juliana,Medellín,Nacionales,Coadyuvantes,Aquafull,41316.9521280941,39.0
2016-03-05,Camila,Medellín,Nacionales,Edáficos,Zinc,39830.854034188,46.0
2016-03-05,Camila,Medellín,Nacionales,Foliares,Desarrollo,38539.1986815407,19.0
2016-03-06,Ana Maria,Barranquilla,Importados,Bioestimulantes,Aminogib,45039.0,44.0
2016-03-06,Juliana,Bogotá,Nacionales,Foliares,Rendimiento,52151.0,20.0
2016-03-06,Juliana,Cali,Importados,Fertirrigación,Calcio,42545.3364300144,29.0
2016-03-06,Ana Maria,Cartagena,Importados,Fertirrigación,Humus 15,40398.7502943723,10.0
2016-03-07,Juliana,Cali,Importados,Bioestimulantes,Actiplant,34199.0,35.0
2016-03-07,Camila,Cali,Nacionales,Foliares,Triplehoja,63955.0,19.0
2016-03-07,Camila,Bogotá,Importados,Fertirrigación,Humus 15,43622.4874887335,46.0
2016-03-07,Camila,Cali,Importados,Fertirrigación,Frutales,43178.0469372849,40.0
2016-03-07,Ana Maria,Barranquilla,Importados,Fertirrigación,Calcio,42506.7565210345,31.0
2016-03-07,Camila,Medellín,Nacionales,Edáficos,Zinc,41475.9013530914,14.0
2016-03-08,Camila,Cali,Importados,Bioestimulantes,Zin Stress,42285.0,28.0
2016-03-08,Camila,Cali,Nacionales,Coadyuvantes,Trionex,43608.5987215007,47.0
2016-03-08,Camila,Cartagena,Nacionales,Edáficos,Zinc,40505.2308431568,27.0
2016-03-09,Camila,Medellín,Importados,Fertirrigación,Humus 15,41520.654047508,14.0
2016-03-09,Ana Maria,Barranquilla,Importados,Fertirrigación,Frutales,38425.0021509601,12.0
2016-03-11,Juliana,Bogotá,Nacionales,Coadyuvantes,Fluyex,40829.3020785881,14.0
2016-03-11,Camila,Medellín,Importados,Especiales,Fruit Cover,39063.8854436674,40.0
2016-03-12,Ana Maria,Medellín,Nacionales,Foliares,Fertiverdor,40906.4618965479,14.0
2016-03-12,Ana Maria,Cartagena,Nacionales,Coadyuvantes,Trionex,37073.1621403041,39.0
2016-03-13,Ana Maria,Cali,Nacionales,Edáficos,Menores,64087.0,38.0
2016-03-13,Ana Maria,Bogotá,Importados,Especiales,Solugybb,42672.0,36.0
2016-03-13,Camila,Medellín,Nacionales,Foliares,Rendimiento,43820.0166227106,18.0
2016-03-13,Juliana,Cali,Importados,Bioestimulantes,Actiplant,42344.7209033189,37.0
2016-03-13,Camila,Cali,Nacionales,Coadyuvantes,Fluyex,41355.532037074,19.0
2016-03-13,Camila,Cartagena,Importados,Fertirrigación,Humus 15,40832.3884713065,26.0
2016-03-14,Ana Maria,Medellín,Nacionales,Coadyuvantes,Fluyex,43446.5631037851,32.0
2016-03-14,Camila,Barranquilla,Importados,Bioestimulantes,Actiplant,41690.4056470196,19.0
2016-03-14,Camila,Bogotá,Importados,Especiales,Fruit Cover,41687.3192543012,26.0
2016-03-14,Camila,Bogotá,Importados,Fertirrigación,Humus 15,41661.0849161949,43.0
2016-03-14,Juliana,Cartagena,Importados,Fertirrigación,Humus 15,39409.5614281274,17.0
2016-03-14,Juliana,Bogotá,Importados,Bioestimulantes,Zin Stress,38749.0733863914,19.0
2016-03-14,Juliana,Cartagena,Importados,Fertirrigación,Calcio,37553.0962080142,14.0
2016-03-15,Ana Maria,Cali,Importados,Especiales,Fruit Cover,54092.0,18.0
2016-03-15,Camila,Cali,Importados,Bioestimulantes,Zin Stress,43727.4248411588,14.0
2016-03-15,Camila,Medellín,Nacionales,Foliares,Fertiverdor,40139.4933060273,38.0
2016-03-16,Ana Maria,Barranquilla,Importados,Bioestimulantes,Cogollando,54073.0,47.0
2016-03-16,Camila,Cartagena,Importados,Fertirrigación,Manganeso,39150.3044397824,24.0
2016-03-16,Camila,Bogotá,Importados,Fertirrigación,Hierro,37542.2938334998,47.0
2016-03-17,Juliana,Barranquilla,Importados,Especiales,Solugybb,43417.2423729604,40.0
2016-03-17,Juliana,Cali,Importados,Fertirrigación,Manganeso,39445.0549443889,23.0
2016-03-18,Juliana,Cali,Nacionales,Foliares,Molib-K,43431.1311401931,26.0
2016-03-18,Juliana,Barranquilla,Nacionales,Edáficos,Zinc,40025.2967754468,49.0
2016-03-19,Juliana,Cali,Nacionales,Edáficos,Menores,64087.0,48.0
2016-03-19,Camila,Medellín,Importados,Especiales,Solugybb,42026.8224533245,35.0
2016-03-19,Juliana,Barranquilla,Importados,Bioestimulantes,Aminogib,40580.8474647575,41.0
2016-03-19,Camila,Medellín,Importados,Fertirrigación,Humus 15,38590.1241613941,21.0
